pair,dir,t_in,t_out,entry,sl,tp,exit,reason,lots,risk_pct,risk_usd,pips,pnl,spread_cost,slip_cost,commission,equity_at_entry,hold_h
EURUSD,-1,2024-01-24 16:07:00+00:00,2024-01-25 15:06:00+00:00,1.0892600000000001,1.0914553388890862,1.0848693222218277,1.0848693222218277,TP,0.02,2.054578575417888,5.342552763258571,43.90677778172369,8.641355556344738,0.2,0.08000000000000002,0.14,213.70211053034285,22.983333333333334
USDCHF,1,2024-01-25 16:03:00+00:00,2024-01-26 08:47:00+00:00,0.868055,0.8660790846036874,0.8720068307926253,0.8660590846036874,SL,0.02,1.9890124859630927,5.722075676799478,-19.959153963126084,-4.73859201620314,0.23040014745609438,0.09216005898243776,0.14,228.88302707197911,16.733333333333334
AUDUSD,-1,2024-01-26 13:01:00+00:00,2024-01-26 13:30:00+00:00,0.65912,0.6605055149853059,0.6563489700293885,0.6605255149853059,SL,0.04,2.4725396103829165,5.6036108763943995,-14.055149853058335,-5.902059941223334,0.520000000000098,0.16000000000000003,0.28,224.14443505577597,0.48333333333333334
USDCHF,1,2024-01-26 13:33:00+00:00,2024-01-26 13:47:00+00:00,0.864765,0.8628656201599191,0.8685637596801618,0.8628456201599191,SL,0.02,2.0128185975227044,5.456059377863816,-19.19379840080948,-4.579078455027546,0.2428405404935948,0.09251068209282293,0.14,218.24237511455263,0.23333333333333334
USDCAD,1,2024-01-26 15:01:00+00:00,2024-01-29 07:43:00+00:00,1.345235,1.343214544809217,1.3492759103815661,1.343194544809217,SL,0.03,2.1088339993685543,5.3415824164881265,-20.40455190782886,-4.760406116662634,0.2787617033453576,0.08920374507056389,0.21,213.6632966595251,64.7
EURUSD,-1,2024-01-29 08:01:00+00:00,2024-01-29 08:34:00+00:00,1.0834300000000001,1.0841524905331734,1.0819850189336535,1.0841724905331733,SL,0.07,2.4209496187775685,5.2225722635715615,-7.424905331732123,-5.6874337322124875,0.7000000000000002,0.2800000000000001,0.49000000000000005,208.90289054286245,0.55
GBPUSD,-1,2024-01-29 09:02:00+00:00,2024-01-29 09:33:00+00:00,1.270075,1.2709799758958533,1.2682650482082938,1.2709999758958532,SL,0.05,2.2266413934654112,5.080386420266248,-9.24975895853164,-4.9748794792658195,0.5,0.2,0.35000000000000003,203.21545681064995,0.5166666666666667
USDCHF,1,2024-01-29 11:02:00+00:00,2024-01-29 15:18:00+00:00,0.86255,0.8614320448369709,0.8647859103260583,0.8647859103260583,TP,0.03,1.961411906841305,4.956014433284604,22.35910326058299,7.566628575937507,0.3478059242942438,0.1391223697176975,0.21,198.24057733138415,4.266666666666667
GBPUSD,-1,2024-01-29 15:18:00+00:00,2024-01-29 17:20:00+00:00,1.26712,1.2686280454766916,1.2641039090466166,1.2686480454766915,SL,0.03,2.1982400519602026,5.145180147683041,-15.280454766914975,-4.794136430074492,0.3,0.12,0.21,205.80720590732165,2.033333333333333
NZDUSD,-1,2024-01-29 18:01:00+00:00,2024-01-29 19:40:00+00:00,0.6104200000000001,0.6114812534093365,0.6082974931813274,0.6115012534093365,SL,0.04,2.1118097685811943,5.025326736931179,-10.812534093364023,-4.60501363734561,0.4599999999996829,0.16000000000000003,0.28,201.01306947724714,1.65
